Gender,Age (Years),Institutional Designation for service holders/Bachelor (Third/Forth Year)/Master's ,Name of the Institute,Institute_Revised,Institute_cetegory ,Highest Educational Qualification,Area of studies:,Present country of residence,No. of Publications (Local peer-reviewed),No. of Publications (International peer-reviewed),Occupation:
Female,22,2nd,BSMRSTU,BSMRSTU,Public University (Science and Tecj),Bachelor,Biotechnology/Genetic Engineering,Bangladesh,0,0,Student (Local)
Female,28,Bachelor 11th year,North South University,North South University,Private University,Bachelor,Microbiology,Bangladesh,none,none,Student (Local)
Male,21,Bachelor second year,Bangabandhu Sheikh Mujibur Rahman Science & Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Student (Local)
Female,24,Master's ,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Bangladesh ,0,0,Student (Local)
Male,19,Bachelor second year,"Bangabandhu Sheikh Mujibur Rahman Science and Technology University,Gopalganj",Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh,No,No,Student (Local)
Male,22,2nd,Bangabandhu Sheikh Mujibur Rahman Science and Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,00,00,Student (Local)
Male,21,Bachelor 2nd year ,Bangabandhu Sheikh Mujibur Rahman Science and Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,00,00,Student (Local)
Male,20,2nd,"Bangabandhu Sheikh Mujibur Rahman Science and Technology University,Gopalgonj ",Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,00,00,Student (Local)
Female,24,Master’s ,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Bangladesh ,1,No,Service (Local/abroad)
Male, 22 years,B.Sc. (Hons) 2nd year,BSMRSTU ,BSMRSTU,Public University (Science and Tecj),Bachelor,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering, Virology, Immunology, Public health",Bangladesh ,0,0,Student (Local)
Male,24,Bachelor,Stamford University Bangladesh,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh,0,2,Service (Local/abroad)
Female,22,Bachelor -Second ,BSMRSTU ,BSMRSTU,Public University (Science and Tecj),HSC,Biotechnology/Genetic Engineering,Bangladesh ,Zero,Zero,Student (Local)
Female,25,Graduate,BSMRSTU,BSMRSTU,Public University (Science and Tecj),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Student (Local)
Male,21,Bachelor (Forth Year),North South University,North South University,Private University,HSC,Microbiology,Bangladesh,0,0,Student (Local)
Male,22,2nd,BSMRSTU ,BSMRSTU,Public University (Science and Tecj),Bachelor,Biotechnology/Genetic Engineering,Bangladesh,none,none,Student (Local)
Male,22,Bachelor (2nd),BSMRSTU,BSMRSTU,Public University (Science and Tecj),HSC,Biotechnology/Genetic Engineering,Bangladesh,N/A,N/A,Student (Local)
Female,23(1997),Master's,Stamford University,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh ,no,no,Student (Local)
Male,34,Sr. Executive (In Charge),Square Pharmaceuticals Ltd ,Square Pharmaceuticals Ltd,Phermaceuticals Company,Masters/MS,Microbiology,Bangladesh ,0,0,Service (Local/abroad)
Male,26,Lecturer ,"Independent University, Bangladesh (IUB)",Independent University Bangladesh,Private University,Masters/MS,Biotechnology/Genetic Engineering,Bangladesh ,1,0,Teacher (Local)
Female,20,First ,"Bangabandhu Sheikh Mujibur Rahman Science and technology University, Gopalgonj ",Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,00,00,Researcher (Local/abroad)
Male,22,Third,Banghabandhu Sheikh Mujibur Rahman Science and Technology university,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh,No,No,Student (Local)
Male,21,Bachelor,Banghabandhu sheikh Mujibur Rahman science and technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,Zero,Zero,Student (Local)
Female,34,Lecturer ,Independent university Bangladesh ,Independent University Bangladesh,Private University,Masters/MS,Microbiology,Bangladesh ,None,None,Teacher (Local)
Male,21,Bachelor 2nd,"Bangabandhu Sheikh Mujibur Rahman Science and Technology  University, Gopalganj ",Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,00,00,Student (Local)
Female,22,Bachelor 2nd year,Bangabandhu Sheikh Mujibur Rahman Science and Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,Have no publications ,I have no publications ,Student (Local)
Prefer not to say,30,MS,Jahangirnagar University,Jahangirnagar University,Public University (General),PhD student,Microbiology,USA,1,NA,Researcher (Local/abroad)
Female,49,Professor ,Jahangirnagar University ,Jahangirnagar University,Public University (General),PhD,Zoology,Bangladesh ,19,6,Teacher (Local)
Male,51,Professor ,University of Dhaka ,Dhaka University,Public University (General),PhD,"Microbiology, Biochemistry",Bangladesh,12,38,Teacher (Local)
Female,21,third,north south univeristy,North South University,Private University,Bachelor,Microbiology,Bangladesh,1,0,Student (Local)
Male,23,Bachelor(3rd),BSMRSTU ,BSMRSTU,Public University (Science and Tecj),Bachelor,Biotechnology/Genetic Engineering,Bd,No,No,Student (Local)
Female,19,Honor's 2nd semester,Brac University,BRAC,Private University,HSC,Pharmacy,Bangladesh,3,0,Student (Local)
Female,22,2nd Year,Bangabandhu Sheikh Mujibur Rahman Science and Technology University,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,None,None,Student (Local)
Female,29,Lecturer ,Bangladesh University of Health Sciences ,Bangladesh University of Health Sciences,Private University,Masters/MS,Microbiology,Bangladesh ,05,04,Teacher (Local)
Male,24,bsc,BSMRSTU,BSMRSTU,Public University (Science and Tecj),Bachelor,Biotechnology/Genetic Engineering,"khulna,bangladesh",No,No,Student (Local)
Female,33,"MBBS, MSc",Dhaka Medical College/ University of Manitoba ,Dhaka Medical College/ University of Manitoba,Abroad University,"Masters/MS, MBBS","Public health, Medicine",Canada,0,8,Researcher (Local/abroad)
Male,34,PhD candidate,University of Alberta,University of Alberta,Abroad University,Masters/MS,"Microbiology, Biotechnology/Genetic Engineering, Virology, Immunology",Canada,0,8,Researcher (Local/abroad)
Male,43,Associate Professor,Jahangirnagar University,Jahangirnagar University,Public University (General),PhD,Zoology,Bangladesh,12,4,Teacher (Local)
Female,36yrs,Senior Research Officer ,"icddr,b ","icddr,b",Research Organization,Masters/MS,Microbiology,Bangladesh ,01,05,Researcher (Local/abroad)
Male,38,Master's,University of Dhaka,Dhaka University,Public University (General),PhD,Microbiology,United States,0,22,Researcher (Local/abroad)
Male,20,Honor's First year,BRAC University,BRAC,Private University,HSC,Pharmacy,Bangladesh,No,No,Student (Local)
Male,N/A,BSc,University of Dhaka ,Dhaka University,Public University (General),PhD,"Biochemistry, Biotechnology/Genetic Engineering",USA,1,8,Service (Local/abroad)
Male,38,PhD,University of Alberta ,University of Alberta,Abroad University,PhD,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering, Pharmacy, Virology, Immunology",Canada ,12,11,Researcher (Local/abroad)
Female,23,Forth year,North South University,North South University,Private University,"HSC, Bachelor","Microbiology, Immunology",Bangladesh,None,None,Student (Local)
Male,20,Bachelor in pharmacy 1st year.,BRAC University,BRAC,Private University,HSC,Pharmacy,Bangladesh,None,None,Student (Local)
Male,26,Master's ,Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),Masters/MS,Microbiology,Bangladesh ,0,1,Student (Local)
Male,27,Application Executive,Biotech Services,Biotech Services,Others,Masters/MS,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering, Botany, Zoology, Virology, Immunology, Public health",Bangladesh ,0,1,Service (Local/abroad)
Male,26,Master's,NSTU,North South University,Private University,Bachelor,Microbiology,Bangladesh ,0,0,Service (Local/abroad)
Male,23,Fourth Year,Jashore University of Science and Technology ,Jashore University of Science & Technology,Public University (Science and Tecj),HSC,Microbiology,Bangladesh ,0,0,Student (Local)
Female,33,Ex-Lecturer ,Gono University ,Gono Bishwabidyalay,Private University,PhD,Microbiology,Japan,0,6,Researcher (Local/abroad)
Male,25,Master's,Noakhali Science And Technology University,Noakhali Science and Technology University,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh,0,2,Student (Local)
Male,24,Master's,Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Female,24,Master's ,Noakhali science and technology university,Noakhali Science and Technology University,Public University (Science and Tecj),Masters/MS,Microbiology,bangladesh,no publication ,no publication ,Student (Local)
Female,23Y,Medical Technologist ,Popular Diagnostic Center ,Popular Diagnostic Centre Ltd.,Diagnostic centre,"Bachelor, On course",Microbiology,Bangladesh,300,150,Student (Local)
Female,28,University of Rajshahi ,University of Rajshahi,Rajshahi  University,Public University (General),Masters/MS,Biochemistry,Bangladesh ,1,0,Student (Local)
Female,31,Lecturer,Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),Masters/MS,Microbiology,Bangladesh ,0,8,Teacher (Local)
Male,30,Lecturer ,Noakhali science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),PhD,Microbiology,Bangladesh ,7,28,Teacher (Local)
Female,25,Masters,Noakhali science and technology,Noakhali Science and Technology University,Public University (Science and Tecj),Masters/MS,Microbiology,Bangladesh,0,2,Student (Local)
Male,46,Professor,NSTU,North South University,Private University,PhD,Marine biology,Australia,7,110,Teacher (Local)
Female,24,Bachelor completed.,Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh,None,None,Student (Local)
Male,38,Assistant Professor,Shahjalal University of Science and Technology,Shahjalal University of Science and Technology,Public University (Science and Tecj),PhD,"Microbiology, Biochemistry, Public health","61/B Renesha, Surma residential area, Sylhet.",1,8,Teacher (Local)
Male,25,Master’s ,Noakhali Science And Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Male,25,Bachelor(Forth Year),Noakhali Science and Technology University,Noakhali Science and Technology University,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh,N/A,N/A,Student (Local)
Female,23,Master’s ,Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh ,None,None,Student (Local)
Female,24,Fourth year,Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),HSC,Microbiology,Bangladesh ,None,none,Student (Local)
Male,29,Masters ,Nstu,North South University,Private University,Masters/MS,"Biotechnology/Genetic Engineering, Pharmacy, Public health",Bangladesh,0,19,Teacher (Local)
Male,22,Bachelor ,Jashore university of science and technology ,Jashore University of Science & Technology,Public University (Science and Tecj),Bachelor,Microbiology,Shaheed Mashiur Rahman hall(JUST),0,0,Student (Local)
Female,39,Assistant Professor ,Varendra University ,Varendra University,Abroad University,PhD,Biochemistry,Bangladesh ,1,19,Teacher (Local)
Female,31years,Lecturet,Noakhali Science & Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),Masters/MS,Pharmacy,Bangladesh ,09,09,Teacher (Local)
Male,23,MS,"Bangabandhu Sheikh Mujibur Rahman Science and Technology University, Gopalganj",Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh,0,0,Student (Local)
Male,37,Professor,Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),PhD,Fisheries and Marine Science,Bangladesh,20,14,Teacher (Local)
Female,32,Assistant Professor,Noakhali Science and Technology University,Noakhali Science and Technology University,Public University (Science and Tecj),Masters/MS,Microbiology,Bangladesh,2,3,Teacher (Local)
Male,35,Assistant Professor,Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),PhD,Pharmacy,Japan,4,45,Teacher (Local)
Male,24,Bachelor (Forth Year),Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),HSC,Microbiology,Bangladesh ,N/A,N/A,Student (Local)
Male,21,Bachelor ,"Bangabandhu Sheikh Mujibur Rahman Science and Technology University, Gopalganj",Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),"HSC, Bachelor",Biotechnology/Genetic Engineering,Bangladesh ,00,00,Student (Local)
Male,20,2nd year,BSMRSTU,BSMRSTU,Public University (Science and Tecj),"HSC, Bachelor",Biotechnology/Genetic Engineering,Bangladesh ,Zero ,Zero,Student (Local)
Female,28,Assistant Professor,Jahangirnagar University,Jahangirnagar University,Public University (General),Masters/MS,Biotechnology/Genetic Engineering,Bangladesh,1,9,Teacher (Local)
Male,41,Associate Professor,Jahangirnagar University,Jahangirnagar University,Public University (General),PhD,Biochemistry,Bangladesh,27,17,Teacher (Local)
Female,40,Assistant Professor,Chittagong of University,Chottagram University,Public University (General),PhD,"Microbiology, Biotechnology/Genetic Engineering, Virology, Immunology",Bangladesh,0,7,Teacher (Local)
Male,28,PhD student ,University at Buffalo ,University at Buffalo,Abroad University,Masters/MS,Biochemistry,USA,0,12,Researcher (Local/abroad)
Male,23,Third Year,North South University,North South University,Private University,Bachelor,Microbiology,Dhaka,Zero,Zero,Student (Local)
Female,23,4th,Rajshahi University ,Rajshahi  University,Public University (General),Bachelor,Biotechnology/Genetic Engineering,bangladesh,none,6,Student (Local)
Female,20,Bachelor,Bangabandhu Sheikh Mujibur Rahman Science and Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Student (Local)
Male,22,Thirf,University of Dhaka ,Dhaka University,Public University (General),Bachelor,Pharmacy,Bangladesh,00,42,Student (Local)
Male,23,Bachelor ,University of Dhaka ,Dhaka University,Public University (General),Bachelor,Pharmacy,Bangladesh,0,7,Student (Local)
Male,33,Assistant Professor,IIUC,International Islamic University Chittagong,Private University,M.Phil.,Pharmacy,Bangladesh,10,32,Teacher (Local)
